4.000000 100
12.000000 98
20.000000 96
28.000000 94
36.000000 92
44.000000 90
52.000000 88
60.000000 86
68.000000 84
76.000000 82
84.000000 80
92.000000 78
100.000000 76
108.000000 74
116.000000 72
124.000000 70
132.000000 68
140.000000 66
148.000000 64
156.000000 62
164.000000 60
172.000000 58
180.000000 56
188.000000 54
196.000000 52
204.000000 50
212.000000 48
220.000000 46
228.000000 44
236.000000 42
244.000000 40
252.000000 38
260.000000 36
268.000000 34
276.000000 32
284.000000 30
292.000000 28
300.000000 26
308.000000 24
316.000000 22
324.000000 20
332.000000 18
340.000000 16
348.000000 14
356.000000 12
364.000000 10
372.000000 8
380.000000 6
388.000000 4
396.000000 2
